Height,Width,CenterX,CenterY,Area,Perimeter,Compactness,MajorAxis,MinorAxis,Orientation,Eccentricity,HuMoment1,HuMoment2,HuMoment3,HuMoment4,HuMoment5,HuMoment6,HuMoment7,Class
553,316,153.8160507,278.885063,95809,2588.218,0.820272528,533.2726334,262.4198406,-79.85664404,0.870542518,0.230448337,0.019767145,0.002477874,0.00026361,1.89E-07,2.45E-05,1.01E-07,0
551,317,155.7954113,277.8585343,96716,2375.895,0.784695204,531.8344857,263.859365,-79.17621041,0.868247904,0.227786079,0.018988187,0.002331897,0.000231824,1.42E-07,1.84E-05,9.54E-08,0
550,332,163.2409015,276.1767572,99962,2333.237,0.769257767,532.1922456,272.6987001,-77.9077681,0.858743096,0.223579916,0.017053678,0.002278621,0.000175276,7.25E-08,8.75E-06,8.03E-08,0
546,336,167.1325866,273.792974,100968,2153.242,0.726342136,530.2968613,276.1384024,-76.64801764,0.853724968,0.221279795,0.016098452,0.002237181,0.000170702,6.60E-08,7.06E-06,7.76E-08,0
546,338,168.088356,273.5368134,101091,2483.059,0.793961548,530.4829124,276.6980676,-76.51424692,0.853192251,0.221320401,0.016040878,0.002238082,0.000164952,5.96E-08,6.45E-06,7.51E-08,0
539,365,185.763921,267.1869082,107625,2708.748,0.81567433,533.0704752,291.9596902,-72.56474458,0.836678489,0.214524867,0.013344017,0.00190997,8.99E-05,9.02E-09,-5.55E-07,3.25E-08,0
536,373,189.265362,265.730346,109507,2777.949,0.821678705,531.2181171,297.2798547,-71.31817998,0.828749876,0.211501887,0.012237845,0.001911924,9.44E-05,2.05E-09,-2.16E-06,3.54E-08,0
532,386,193.3483517,265.837265,114327,2619.835,0.790679968,528.1010315,308.4907338,-69.81929737,0.811645018,0.204494413,0.010089206,0.001564898,5.42E-05,-1.00E-08,-4.02E-06,8.51E-09,0
524,405,202.2988595,266.7274345,118544,2654.68,0.78861942,519.072327,323.6117295,-66.1220971,0.781869232,0.197272669,0.007542251,0.001411896,3.61E-05,-6.68E-09,-2.81E-06,-5.46E-09,0
535,386,197.4482175,265.8692939,112818,2608.459,0.791637178,532.1826118,304.7801198,-69.38951908,0.819766165,0.208367621,0.011119209,0.001765349,7.47E-05,-3.67E-09,-2.96E-06,2.36E-08,0
532,387,198.5432243,264.1877953,113235,2635.086,0.795072161,531.0732494,305.0027187,-68.87652875,0.818635212,0.20701863,0.010883636,0.001649869,5.86E-05,-9.30E-09,-3.82E-06,1.28E-08,0
531,383,200.6265768,263.8859021,114393,2496.419,0.769338902,530.3834092,307.6983751,-68.16164067,0.814514435,0.205432709,0.010399063,0.001632697,6.46E-05,-7.48E-09,-3.60E-06,1.68E-08,0
536,378,198.1981084,261.8342612,115139,2628.795,0.790627867,539.8704987,307.6516748,-70.0256163,0.821740419,0.209593842,0.011414651,0.001861466,9.81E-05,-3.45E-09,-3.21E-06,3.78E-08,0
543,365,188.6905329,261.9750064,112949,2630.336,0.794850815,544.9521766,303.6249663,-73.70188102,0.830405887,0.215352265,0.01284301,0.00218472,0.000149863,3.76E-08,2.83E-06,7.20E-08,0
485,387,219.9161782,218.4985008,111057,3467.438,0.88392508,519.3761976,328.9295984,-65.00173083,0.773892763,0.212706681,0.008266982,0.002462851,0.000123237,2.13E-08,2.30E-06,-7.53E-08,0
435,377,213.4922603,196.8961882,101684,2331.905,0.765014655,473.217066,326.972368,-61.49705359,0.722896418,0.203362489,0.005175172,0.001870514,6.23E-05,-6.56E-09,-1.25E-06,-7.43E-08,0
475,364,219.3326686,219.3010489,90766,3204.175,0.888903442,500.0016558,326.2459586,-61.63361012,0.757797544,0.226388708,0.009847584,0.00341471,0.000205917,1.09E-07,1.19E-05,-8.84E-07,0
489,365,215.8209551,216.315577,93619,2187.693,0.754189117,514.4922897,313.7854089,-61.75636407,0.792483528,0.242454329,0.012317373,0.00364062,0.000139872,4.32E-08,8.03E-06,-1.22E-06,0
494,371,216.9353734,220.4880282,95224,2405.315,0.793170556,518.3888234,317.6206537,-61.04688514,0.790309861,0.242602308,0.012137112,0.00363668,0.000158831,7.96E-08,1.21E-05,-1.42E-06,0
489,364,209.8630924,219.4161412,94677,2298.341,0.774770422,510.1631335,319.2188543,-61.63444321,0.780048406,0.23908864,0.010929964,0.003309925,0.000133475,6.86E-08,1.12E-05,-1.17E-06,0
483,355,206.5143833,218.3800113,93963,3382.622,0.896804728,502.3738199,320.9956955,-62.55559953,0.769241748,0.236410588,0.009867997,0.003256437,0.000112008,5.37E-08,9.11E-06,-1.02E-06,0
485,355,207.196626,216.6480819,93894,3489.233,0.903085722,503.1168211,319.0750311,-62.5689087,0.773171738,0.236263821,0.010146188,0.003318322,0.000134091,6.39E-08,1.04E-05,-1.14E-06,0
